forest,product,comparison_product,strict_year,support_mode,n,rmse_m,rmspe_pct,bias_m,lcs_m2,sdsd_m2,mae_m,r2,slope
Ifran,Our B4 Phase 2,GFCH 2019,2019,exact same GEDI TEST shot_id intersection,423,6.1970835440469925,67.26901137147867,-1.6046897847827162,28.94162776414287,6.887187382369218,4.596072708991121,0.6365184060427598,0.6077237074982862
Ifran,GFCH 2019,GFCH 2019,2019,exact same GEDI TEST shot_id intersection,423,13.880557906829415,57.394678118765185,-10.749006295170343,19.754707720725598,57.37404375050729,11.02030580939976,-0.8235663362969994,0.16960847288442518
Ifran,Our B4 Phase 2,Lang 2020,2020,exact same GEDI TEST shot_id intersection,1468,3.21685505253563,39.57501794015567,-0.61148930481734,7.861448380054626,2.1127888790634066,1.9528770417640904,0.823668972931038,0.7432801645146129
Ifran,Lang 2020,Lang 2020,2020,exact same GEDI TEST shot_id intersection,1468,5.291189287939916,100.03968766591152,-0.08715084171782136,24.97531315142812,3.013775660169852,4.177714629547145,0.5229407196968601,1.0138270474699929
Ifran,Our B4 Phase 2,Pauls 2020,2020,exact same GEDI TEST shot_id intersection,1478,3.206276754426644,39.50230342893239,-0.6058931089802588,7.8108802102686425,2.1022239561982254,1.9418149759224204,0.8242814808855387,0.7436844975735715
Ifran,Pauls 2020,Pauls 2020,2020,exact same GEDI TEST shot_id intersection,1478,4.441334327029376,96.17114587518037,2.1321166273447436,12.195040407126431,2.9844888847231226,3.490894636230314,0.6628350239905688,0.6699139735324652
Maamoura,Our B4 Phase 2,GFCH 2019,2019,exact same GEDI TEST shot_id intersection,59,3.322965936252281,45.55545308543847,-0.7809489710048092,9.78829895459418,0.6439223635853499,2.1299018408080275,0.1800630306721137,0.41791651219304765
Maamoura,GFCH 2019,GFCH 2019,2019,exact same GEDI TEST shot_id intersection,59,4.436698833494124,48.951005644838595,-2.3820914320218365,8.104402907131039,5.905534041485244,2.994009447259418,-0.46166749328355583,0.03689445796156682
Agadir,Our B4 Phase 2,Lang 2020,2020,exact same GEDI TEST shot_id intersection,1403,1.8607338392568766,36.53179664866071,-0.11573712207552203,3.0515838140780365,0.3973515250512764,1.1032885975406073,0.3775920486387544,0.45845090461211463
Agadir,Lang 2020,Lang 2020,2020,exact same GEDI TEST shot_id intersection,1403,4.838286701297303,99.98741504127412,-4.225669253747844,0.10044064479433239,5.452296917086144,4.225669253747844,-3.2081365132564796,0.0009541843318856113
Agadir,Our B4 Phase 2,Pauls 2020,2020,exact same GEDI TEST shot_id intersection,1403,1.8607338392568766,36.53179664866071,-0.11573712207552203,3.0515838140780365,0.3973515250512764,1.1032885975406073,0.3775920486387544,0.45845090461211463
Agadir,Pauls 2020,Pauls 2020,2020,exact same GEDI TEST shot_id intersection,1403,2.799774957972372,85.94793922687279,1.9828997564553703,3.670264346822279,0.2365840243161505,2.3607382654990796,-0.40913587008400265,0.46387910500737045
