forest,product,product_label,height_class,height_min_m,height_max_m,n,rmse_m,rmspe_pct,bias_m,lcs_m2,sdsd_m2
Ifran,Our B4 Phase 2,Our Model annual (year-matched),0–5 m,0.0,5.0,2459,2.02858656753127,59.80311601367016,0.7421056506322524,1.9274076182177957,1.6370350470501855
Ifran,Our B4 Phase 2,Our Model annual (year-matched),5–10 m,5.0,10.0,1200,3.2079515648265207,46.618306529613655,-0.0013841745376586446,6.946422140362198,3.3445291859715747
Ifran,Our B4 Phase 2,Our Model annual (year-matched),10–15 m,10.0,15.0,464,4.259741232789095,35.330919852691686,-1.6569555438592516,8.400386725579379,6.999506970418272
Ifran,Our B4 Phase 2,Our Model annual (year-matched),15–20 m,15.0,20.0,255,5.191986659898627,29.766659533695556,-2.3775900230033726,10.347238242017776,10.956552917062348
Ifran,Our B4 Phase 2,Our Model annual (year-matched),20–25 m,20.0,25.0,227,6.716981611898579,30.080918906858283,-3.704302353081724,13.236533752477797,18.15945229905903
Ifran,Our B4 Phase 2,Our Model annual (year-matched),25–30 m,25.0,30.0,177,6.417910397164357,23.470117112818457,-4.442983272574042,10.616347927712274,10.83312557794535
Ifran,Our B4 Phase 2,Our Model annual (year-matched),30–35 m,30.0,35.0,166,8.290073061623492,25.68702304563617,-6.354421207244138,13.424223475269143,14.922419012712291
Ifran,Our B4 Phase 2,Our Model annual (year-matched),35–40 m,35.0,40.0,102,9.535043572621431,25.58164985183874,-7.962219248191983,13.047559560589852,14.47256101492052
Ifran,Our B4 Phase 2,Our Model annual (year-matched),40–45 m,40.0,45.0,22,11.866484539248626,28.81753322869736,-11.044625525041063,6.300473837068862,12.529228494769233
Maamoura,Our B4 Phase 2,Our Model annual (year-matched),0–5 m,0.0,5.0,722,1.9625252586438422,74.93022766190656,0.4620568603918039,1.5924953115053708,2.0455135370745774
Maamoura,Our B4 Phase 2,Our Model annual (year-matched),5–10 m,5.0,10.0,499,2.032772261699102,29.29170922752614,0.6601531747261246,2.940951511055758,0.7554093427765436
Maamoura,Our B4 Phase 2,Our Model annual (year-matched),10–15 m,10.0,15.0,572,1.8582814386061153,15.464154835343273,-0.8854513315812822,2.507810941416771,0.161374903052177
Maamoura,Our B4 Phase 2,Our Model annual (year-matched),15–20 m,15.0,20.0,5,8.56128356533006,50.04521913672734,-7.257607194900513,11.35596627235637,9.266747818162521
Agadir,Our B4 Phase 2,Our Model annual (year-matched),0–5 m,0.0,5.0,5176,0.9613343243267607,31.771346861812034,0.28955372979780986,0.761320818670494,0.07900150201847238
Agadir,Our B4 Phase 2,Our Model annual (year-matched),5–10 m,5.0,10.0,1080,2.2082679899604427,32.17589959765204,-1.2967333707367932,3.036981567431866,0.15794851326966242
Agadir,Our B4 Phase 2,Our Model annual (year-matched),10–15 m,10.0,15.0,124,6.1386211758911795,49.712201393192416,-5.594700004054654,5.8525358560087195,0.5294659497217361
Agadir,Our B4 Phase 2,Our Model annual (year-matched),15–20 m,15.0,20.0,29,10.942382120253491,61.84866358916806,-10.520284752352483,8.191468840566618,0.867866354496507
