forest,phase,n,mae,rmse,r2,bias,slope,negative_predictions,zero_predictions
Ifran,Phase 1,5076,2.457372157789761,4.163070646471673,0.7871126146148366,0.1111207278870146,0.8575187981985657,0,0
Ifran,Phase 2,5076,2.4097532356818707,4.062235051322436,0.7973005992209937,-0.4004401689340413,0.7872385590041595,0,0
Maamoura,Phase 1,1799,1.468743049174592,2.1805257866531176,0.7053314018691759,0.2499359398223198,0.8655604160222253,0,30
Maamoura,Phase 2,1799,1.4255368598116942,2.126725521194589,0.7196927772205208,0.1412822189104597,0.8472585978583655,20,0
Agadir,Phase 1,6125,1.0030767220321968,1.74471736054045,0.3777059820146341,-0.18899925787166671,0.39131491639988536,0,0
Agadir,Phase 2,6125,1.0056882782395034,1.744692878491567,0.37772344607617525,-0.15652134343127813,0.4313797088366729,0,0
