contrast,delta_mae,delta_rmse,delta_r2,delta_bias,delta_slope,delta_std_ratio
Phase 2 delta 1 minus 3 | parent=best_any,0.03700206864045419,0.06596640941421716,-0.017658728424384207,0.22248208666351801,0.015851612841756846,0.02125582930465464
Phase 2 delta 1 minus 3 | parent=best_slope,-0.02457599514988229,-0.03306272587054826,0.008865594894410966,-0.030147631125257618,-0.0003025025476649512,-0.004273626949159892
best_slope minus best_any | Phase 2 delta=1,-0.01864661542455459,-0.04586811427386284,0.012335693142721316,-0.15059587347469802,0.001608249678366036,-0.0018542773891416786
best_slope minus best_any | Phase 2 delta=3,0.04293144836578189,0.05316102101090259,-0.014188630176073858,0.10203384431407761,0.017762365067787833,0.023675178864672852
