forest,n_seeds,support_n,delta_mae_mean,delta_mae_sd,delta_mae_min,delta_mae_max,delta_mae_negative_seeds,delta_mae_positive_seeds,delta_rmse_mean,delta_rmse_sd,delta_rmse_min,delta_rmse_max,delta_rmse_negative_seeds,delta_rmse_positive_seeds,delta_bias_mean,delta_bias_sd,delta_bias_min,delta_bias_max,delta_bias_negative_seeds,delta_bias_positive_seeds,delta_r2_mean,delta_r2_sd,delta_r2_min,delta_r2_max,delta_r2_negative_seeds,delta_r2_positive_seeds,delta_slope_mean,delta_slope_sd,delta_slope_min,delta_slope_max,delta_slope_negative_seeds,delta_slope_positive_seeds,delta_std_ratio_mean,delta_std_ratio_sd,delta_std_ratio_min,delta_std_ratio_max,delta_std_ratio_negative_seeds,delta_std_ratio_positive_seeds
agadir,4,6125,0.00854932057682356,0.004455563347212014,0.0027406336212161264,0.013593985675889542,0,4,-0.011505439749897761,0.005465606579700702,-0.017248239867003523,-0.005699149204550391,4,0,0.09508674564896794,0.013847272169204337,0.076518307160358,0.10944124978902386,0,4,0.008379274565827266,0.004018125240267927,0.004115505454409862,0.01267247594048726,0,4,0.04295262269942783,0.012124299804264677,0.029693809692640738,0.05338610887307699,0,4,0.06061797855156806,0.01623354965320216,0.043731138961263016,0.07623562755140734,0,4
ifran,4,5076,-0.07891638400619849,0.0587799760170438,-0.143742981274547,-0.0009744431867235726,4,0,-0.12158492840916746,0.08985312383945711,-0.22359494155167603,-0.004684906767885799,4,0,0.04645621199235267,0.16679185539539904,-0.1357430303726166,0.268837609988108,1,3,0.012775216099316838,0.009385616715402138,0.0005072682236268999,0.02335635737598829,0,4,0.012001853127249107,0.014527251712622223,0.00031359614354531384,0.03236437791881808,0,4,0.006829178728642082,0.013755655510838094,-0.005820268908215964,0.025945229809194226,1,3
maamoura,4,1799,-0.03100568898689504,0.057716610668517826,-0.1064865741872234,0.021329023389517587,2,2,-0.03481833723231764,0.07580178158154995,-0.13918296153651522,0.03933660688001428,3,1,0.16911198187530954,0.08207452505002208,0.0587757694043369,0.23961558386376988,0,4,0.010004759981225742,0.02144487706253091,-0.01065968720732724,0.03971853471258979,1,3,0.010022191796442925,0.02714734170874462,-0.01918331045837207,0.04598706981343681,1,3,0.003320860837212447,0.034072502540744634,-0.04173783689013155,0.041029363473815805,1,3
